Keyword,Frequency
municipal solid waste,3
natural resources management,3
nutrient availability,3
review,3
mapping,3
market conditions,3
accuracy assessment,3
bpann,3
different energy sources,2
historical data,2
green practices,2
submerged fermentation,2
neuro streamflow-sediment model,2
object recognition,2
normalized difference vegetation index,2
north america,2
developing world,2
streamflow,2
cyber physical system,2
data assimilation,2
dynamic assessment,2
dwelling,2
grey relational analysis,2
sun,2
growth rate,2
green networks,2
greywater,2
socio-economic conditions,2
green manufacturing,2
data centers,2
domestic space,2
socioeconomic conditions,2
dtreg software,2
spatial distribution map,2
drainage water,2
social networks,2
high performance liquid chromatography,2
cybernetics,2
dam failure,2
dam safety,2
structural equation modelling,2
developed country,2
social aspects,2
number of samples,2
detoxification,2
danube basin,2
dropout,2
gross domestic products,2
drought forecasting,2
driving behavior,2
greenhouse gas,2
success,2
structural design,2
drought stress,2
data analysis,2
spatial context,2
optimisation,2
strong sustainability,2
optimisations,2
levenberg-marquardt,2
study areas,2
social interaction,2
stochasticity,2
socioeconomic impact,2
diagnosis,2
decision support techniques,2
one-way slab,2
spiking neural networks,2
soil depth,2
groundwater management,2
groundwater level forecasting,2
disease management,2
noncarcinogenic risk,2
online judging,2
oil spill,2
diseases,2
disassembly sequence,2
groundwater flow modeling,2
soil texture,2
decision support system (dss),2
state-of-the-art methods,2
non-parametric,2
soil management,2
stability criteria,2
soil organic carbon,2
deep convolutional neural networks,2
stakeholder,2
decomposition,2
standard penetration test (spt),2
soil physical properties,2
discrete wavelet transforms,2
spinach leaves,2
activated carbon,2
deepor beel,2
deforestation,2
spray execution system,2
decision tree,2
sponsorship,2
health care,2
hazards,2
dependent variables,2
nitrogen content,2
operational sustainability,2
data reduction,2
operations technology,2
stepwise regression,2
solar aggregate stockpiles,2
stochastic optimizations,2
demography,2
soil organic matter,2
spatial variation,2
nonpoint source pollution,2
sodium chloride,2
data envelopment analysis,2
dna,2
density (specific gravity),2
grountwater,2
soft sensor,2
oil palm,2
nexus,2
nicotiana tabacum l.,2
soi,2
heating furnaces,2
oil palm plantations,2
nonlinear plant,2
software design,2
niger-delta,2
distributed computer systems,2
levenberg-marquardt algorithm,2
database,2
statistics,2
operation model,2
ngmn,2
distributed generation,2
spatio-temporal data mining,2
hard rock aquifer,2
neural networks, corporate reputations,2
optimization models,2
pollution,2
regional system,2
equipment,2
fractal analysis,2
least squares approximations,2
enzyme activity,2
enzymatic transesterification,2
environmental variables,2
relative performance,2
pollutant removal,2
policy approach,2
reinforcement learning control,2
policy,2
freshwater ecosystem,2
poland,2
polychronization,2
polynomial approximation,2
forests,2
poor households,2
estate management,2
red soil hilly region,2
population statistics,2
recurring neural networks,2
recurrent neural networks (rnn),2
recurrent neural networks,2
evaluation approach,2
forest enterprise,2
real-time water management,2
forest ecology,2
real time systems,2
evapotranspiration,2
forecasting time series,2
pmml,2
pm10 country-level forecasting,2
forecasting models,2
environmental degradation,2
research and development management,2
environmental greening,2
environmental engineering,2
reservoir sediment-control operation,2
pixels,2
reservoir storage,2
reservoirs (water),2
reliability analysis,2
fuzzy classification,2
resistance management,2
environment management system,2
pilot epi country scores,2
fuzzy clustering-ranking algorithm,2
fuzzy cognitive maps,2
environmental impact assessment,2
repair,2
renewbales,2
fuels,2
renewable sources,2
plant leaf,2
renewable resource,2
environmental indicators,2
plant leaves,2
fuel consumption,2
remote sensing imagery,2
accident prevention,2
environmental parameter,2
remaining life,2
reliability methods,2
environmental performance indices,2
environmental policy,2
executive function,2
rbf neural network,2
green computing,2
project sustainability,2
fishery,2
preliminary design,2
production models,2
predictive models,2
productivity,2
feature selection,2
fcn-8s,2
public policy,2
protease,2
faults detection,2
prediction problem,2
prediction mode,2
protocooperation,2
proximity-to-target data,2
product development,2
producer services,2
processing units,2
fermentative hydrogen production,2
process scheduling,2
process planning,2
price dynamics,2
fisher information,2
process model,2
filtration,2
primary sensory network,2
financial performance,2
fish communities,2
probabilistic neural networks,2
finite difference method,2
principal components,2
principle component analysis,2
fatty acids,2
fatty acid methyl ester,2
rating,2
power quality,2
expert knowledge,2
radio communication,2
experimental study,2
forage yield,2
railway electrification,2
railways,2
experimental design,2
fatty acid,2
random processes,2
randomized algorithms,2
experience report,2
power plants,2
existing concrete bridge,2
exhaust gas composition,2
power systems,2
radial basis function neural networks,2
exploitation,2
external environments,2
precipitation,2
precipitation (meteorology),2
fluid mechanics,2
flow velocity,2
flow resistance,2
precision irrigation,2
precision pesticide application,2
qualitative reasoning,2
qatar exchange (qe),2
fairness,2
flow modeling,2
pvt,2
punjab [pakistan],2
resource management,2
resource sustainability,2
piezoelectric,2
semi-arid region,2
pareto principle,2
semantic networks,2
efficiency,2
geostatistical interpolation,2
semi-arid,2
geothermal energy,2
parameters,2
para [brazil],2
education,2
sensors,2
accurate performance,2
separation,2
serbia,2
economical efficiency,2
self-organizing neural network,2
self-organizing maps,2
participating country,2
participatory research,2
electric lines,2
selection,2
particulate matter,2
patch based,2
yield,2
electric vehicels,2
electrical conductivity,2
sd and ann,2
scores,2
electrical energy,2
electrical grids,2
electrical infrastructure,2
pavement performance,2
economic system,2
palm oil,2
entrepreneurship,2
greece,2
simulated annealing,2
eco-environments,2
eco-environmental effects,2
simulation-optimisation,2
singular spectrum analysis,2
sinuosity,2
earth (planet),2
economic growth,2
e-learning,2
green analysis,2
ordinary kriging,2
ordinal classification,2
green building,2
green buildings,2
eco-scale,2
significant impacts,2
significant deteriorations, learning systems,2
government,2
shrimp culture,2
overexploitation,2
going concern prediction model,2
ecological impact,2
ecological modelling,2
global sustainability,2
paddy fields,2
ecologically inspired networks,2
shear wave velocity (vs),2
shallow water,2
sewers,2
economic aspect,2
economic conditions,2
electricity consumption forecast,2
genes,2
scenario analysis,2
fuzzy rules,2
fuzzy rough approximation,2
energy productions,2
energy monitoring,2
energy modelling,2
rl,2
energy load forecasting,2
photosynthesis,2
generalized regression neural network(grnn),2
leanness,2
fuzzy-ahp,2
phenotype,2
roller bearings,2
romania,2
pesticides,2
river,2
energy resources,2
energy saving,2
risk management,2
left neighborhood,2
energy sustainability,2
right neighborhood,2
rich and poor data,2
leed,2
retrofitting,2
engineering,2
engines,2
fuzzy inference systems,2
response surface method,2
respirometry,2
fuzzy evaluation,2
resources allocation,2
root mean square error (rmse),2
garlic,2
gas emissions,2
emission,2
generality,2
generalisation,2
electricity-consumption,2
general regression artificial neural networks,2
general regression artificial neural network (grnn),2
electron transport,2
satellites,2
satellite remote sensing,2
electronics,2
gene expression programming,2
sanmenxia reservoir,2
embedded systems,2
emerging economies,2
neural network structures,2
salt cycle,2
pesticide,2
emission inventory,2
saline soil,2
performance management,2
employee performance evaluation,2
safety,2
emulator,2
s2s,2
peronospora tabacina adam,2
persistence,2
rural planning, china,2
rural landscape,2
rural development,2
gasification,2
rotating machinery,2
performance evaluation models,2
principles of sustainability,2
brisbane,2
water level fluctuations,2
matlab,2
atmospheric pollution,2
multi-layer perceptron neural networks,2
transesterification, desirability function approach,2
atmospheric humidity,2
systems theory,2
water quality management,2
maize,2
ceramics,2
keystone habitat/ecosystem,2
astronomy,2
maintenance decisions,2
keystone population,2
keystone species,2
transition potential map,2
mlp (multilayer perceptron),2
computational burden,2
system stability,2
computational efficiency,2
mlp,2
impact on the environment,2
atmospheric temperature,2
taguchi methods,2
iran,2
kathajodi-surua inter-basin,2
leaching,2
bio-hydrogen,2
incubated firms,2
comparative evaluations,2
incomplete measurements,2
multi-agent systems,2
urban sustainability,2
mobile camera,2
authenticity,2
complex adaptive system,2
management information systems,2
attractor neural networks,2
chains,2
taxi industry,2
cfroi,2
transesterification,2
tapajos national forest,2
multi-layer perceptron,2
mlpnn,2
atterberg limits,2
virtual energy,2
asphalt production,2
inhibition,2
input parameter,2
innovation,2
sustainable product design,2
bioconversion,2
machining,2
condition assessment,2
ideal country (of maximal es),2
cda,2
machine-learning,2
conference paper,2
multivariate adaptive regression spline,2
machining feature,2
artificial intelligence (ai),2
information management,2
arrival trend,2
conservation,2
machine learning techniques,2
conservation management,2
conservation planning,2
trend analysis,2
machine learning approaches,2
multiple response optimization,2
conceptual framework,2
neural network structure,2
knowledge management,2
aspect ratio,2
image resolution,2
mixed bio-artificial,2
vineyards,2
synthetic aperture radar,2
multicriteria optimization,2
mississippi river,2
multielemental determination,2
multilayer neural networks,2
multilayer perceptron,2
artificial neural networking,2
multilayers,2
water reuse,2
swarm intelligence,2
mining cities,2
ipo,2
multiple input-single output (miso),2
vibration control,2
computer vision,2
ile-ife,2
index system,2
technology,2
mdp,2
index systems,2
models, neurological,2
inflow,2
modflow,2
model performance,2
balloons,2
moisture,2
inference engines,2
its efficiencies,2
information technology,2
industry,2
thermodynamics,2
chlorophyll a,2
toxicity,2
thermo-sensitive gels,2
waste water,2
backpropagation neural network,2
monolithic column,2
tracking,2
tracking (position), adaptive neuro-fuzzy inference system,2
coal,2
monte carlo method,2
model predictive control,2
chromium,2
inflow prediction,2
information,2
model-based opc,2
markov processes,2
baseline scenario,2
base stations,2
information retrieval,2
tool selection,2
classification accuracy,2
markov chain,2
information analysis,2
influential factors,2
lead,2
information science,2
clay,2
time to failure,2
influencing factors,2
information system,2
tourism,2
tourism development,2
adaptive neuro-fuzzy inference system,2
waste generation,2
wastes,2
coastal areas,2
beetle,2
mathematical model,2
k-skape clustering,2
autoregressive integrated moving average,2
mobility,2
water distribution networks,2
temporal variation,2
manufacturing companies,2
manufacturing,2
mult-criteria analysis,2
manufacturers,2
multi agent systems,2
water deficit,2
traffic noise,2
multi criteria decision making,2
temperature effect,2
irrigated agriculture,2
multi layer perceptron,2
mobile networks,2
karst area,2
indicator system,2
communication systems,2
motor transportation,2
cognition,2
information theory,2
maple,2
coastal sustainability,2
mooc (massive open online courses),2
trade,2
behavior,2
the method of lattice,2
trade-off,2
water,2
coastal zones,2
morphological analysis,2
map updating,2
k-means clustering,2
texas,2
chemistry,2
testing method,2
water balance,2
information use,2
material selection,2
model complexity,2
model comparison,2
water budget,2
machine learning algorithms,2
machine vision,2
construction,2
meteorological variables,2
upper indus basin,2
air pollution,2
coupled natural-human dynamics,2
human level intelligence,2
course contents,2
sustainability reporting,2
network analysis,2
cqi,2
cracking resistance,2
upstream catchment,2
bottom sediments,2
network design,2
membership functions,2
bp neural network model,2
human activities,2
network meta-analysis,2
wind profile,2
sustainability of enterprises,2
bulgaria,2
aircraft,2
country of interest,2
ambient assisted living,2
meteorology,2
sustainable development indicators,2
candida rugosa,2
intermodal freight logistics centre,2
life cycle assessment (lca),2
sustainable design,2
biotechnology,2
unified soil classification system (uscs),2
sustainable computing,2
hunan,2
hydrologic droughts,2
metric connectivity,2
sustainable,2
sustainabiliy,2
cost reduction,2
united kingdom,2
country groups/clusters,2
load shifting,2
interactive optimization,2
method,2
network protocols,2
liquids,2
crop production,2
wind speed,2
brain mapping,2
lipase immobilization,2
agricultural machinery,2
meta model,2
neural network algorithm,2
brazil,2
laser induced breakdown spectroscopy,2
surrogate model,2
cuckoo search,2
urban renewal,2
urban vulnerability,2
surface roughness,2
aggregated indexes,2
home sales index (hsi),2
agglomerative clustering,2
limestone filler,2
worker capacity,2
support vector regression,2
lignocelluloses,2
adaptive control,2
brain,2
lipids,2
urban waters,2
urbanization, china,2
wind speed prediction,2
crop yield,2
hubei,2
cross validation,2
agroforestry systems,2
urban computing,2
urbanization,2
urban development,2
wind, adaptive neuro-fuzzy inference system,2
housing market,2
adaptive control systems,2
suspended sediment,2
housing,2
landscape planning,2
intelligent algorithms,2
survival analysis,2
survival,2
correlation methods,2
metro,2
sustainable development, china,2
longitudinal dispersion coefficient,2
mechanical properties,2
carbon formation,2
ant colony optimization,2
wavelet,2
anomaly detection,2
biological model,2
hybrid vehicles,2
wavelet analysis, china,2
control systems,2
convolutional neural networks (cnn),2
turbulence promoters,2
carbon emission,2
ann model,2
interoperability,2
long-short-term memory,2
convolution neural network,2
sustainable development, artificial neural network modeling,2
hybrid models,2
hydrocarbon,2
inventory control,2
meandering channel,2
biohydrogen,2
arima model,2
arid regions,2
milling process,2
catalysts,2
catalysis,2
bioethanol,2
mutual information,2
mean absolute error,2
laboratory method,2
lulc,2
case based reasoning,2
lake bositeng,2
lte-a,2
national emission,2
inspection,2
lstms,2
carrying capacity,2
integrated management,2
topsis,2
hybrid intelligent system,2
hybrid ga-pso,2
microbial ecology,2
corporate performance,2
microbial growth,2
capital market development,2
analytic hierarchy,2
logistic regressions,2
correlation analysis,2
logging (forestry),2
core competence,2
capture,2
location problem,2
internet of things,2
corporate-sustainability,2
internet of things (iot),2
hybrid approach,2
validation,2
location-allocation model,2
coordination,2
mechatronics,2
ammonia,2
location estimation,2
long short-term memory (lstm),2
corporate reputation,2
intelligent transportation systems (its), algorithms,1
inverse analysis algorithms,1
fuzzy optimization algorithm,1
furnace parameters,1
inverse problems,1
furniture production,1
investment decisions,1
internet of things, communication technologies,1
isoprenoid,1
investigate effects,1
fuzzy relation,1
intermittency,1
investment,1
investigating effects,1
intelligent structures,1
internet,1
fuzzy approach,1
internet bank,1
isotherm,1
istanbul,1
learning,1
intelligent monitoring,1
iron ore,1
fujian,1
islamabad [pakistan],1
fuzzy methods,1
fuzzy logic control,1
functional role,1
interpolation,1
interpersonal communication,1
fuzzy comprehensive evaluation,1
ips typographus,1
ips typographus dispersal,1
fuzzy modeling,1
intelligent vehicle highway systems,1
interactive genetic algorithm,1
inter-dependencies,1
irrigation efficiency,1
intentional delay,1
irrigated valley,1
fuzzy collaborative intelligence,1
intercellular moves,1
function approximation,1
full factorial,1
functional prototypes,1
interpolation techniques,1
fuzzy expert systems,1
interdisciplinary approach,1
interpretative structural modeling,1
fuzzy model,1
intervention study,1
irrigation system,1
fuzzy cognitive map,1
fuzzy logic theory,1
iron oxides,1
iron ores,1
irs (satellite),1
iron,1
history,1
fuel economy,1
land use models,1
flow rate,1
layer-wise,1
land surface temperature,1
lattice units,1
flow interactions,1
learning model,1
land use land cover change,1
land use modelling,1
florida,1
land use/land cover change,1
floors,1
floods,1
flood waters,1
flood retention basin,1
land use-cover changes,1
land use/cover change,1
land use/land cover,1
flood,1
land suitability analysis,1
flow rate (q),1
land cover informations,1
land cover classification,1
food sustainability,1
lake michigan-huron,1
food supply,1
food security,1
food products,1
food production systems,1
food consumption,1
fly ash,1
fluorescence,1
lake sustainability,1
lake van,1
lake vans,1
fluidity,1
lake water,1
land allocation,1
land change modeler,1
land cover,1
flight activity,1
land-use dynamics,1
istanbul , turkey,1
large marine ecosystems,1
landscape composition,1
fisheries policy,1
landscape dynamics risk management,1
landscape ecology,1
fisheries ecology,1
landscape structure,1
landsliding,1
fisher information matrix,1
large scale production,1
land-use modeling,1
fish wastes,1
large scale systems,1
laser heating,1
laserinduced breakdown spectroscopy (libs),1
latent factors,1
fish and wildlife services,1
latent variable,1
latent variables,1
fisheries yield,1
fishery management,1
landscape change models,1
fishery modeling,1
flexible asset allocation,1
land-use structures,1
fleet overcapacity,1
fleet operations,1
land-use/cover change (lucc),1
flatfish,1
flame retardants,1
five parameter logistic,1
landsat,1
landsat images,1
fishing gears,1
fishing fleets,1
landsat tm,1
landsat tm imagery,1
fishing,1
fishes,1
landscape,1
lagged climate indices,1
food waste,1
laboratory experiments,1
fractional factorial designs,1
jip-test,1
fresh water,1
job satisfaction,1
frequency domain analysis,1
job satisfaction-performance matrix,1
frequency allocation,1
fraud detection,1
fracture,1
juvenile,1
laboratory analysis,1
fractals,1
kansei engineering,1
fourier transform infra reds,1
kaplan-meier,1
kappa number,1
fossil fuel power plants,1
kappa statistics,1
fossil fuel energy,1
jinan [shandong],1
jilin,1
jiangsu province,1
jiangsu,1
italy,1
iterative procedures,1
fuel cell,1
fuel additives,1
fuel,1
ftir spectroscopy,1
its,1
its applications, genetic programming,1
its applications, risk assessment,1
fruits,1
fruit,1
frost,1
jacobian matrices,1
japan,1
frontal cortex,1
jiangjia gully,1
freshwater environment,1
fossil fuel deposits,1
karst land,1
forward-and-backward,1
knowledge base,1
forecasting system,1
knowledge translation,1
lca tool,1
knowledge-based analytical approach,1
layered learning,1
forecasting modeling,1
kriging approach,1
forecasting model,1
krung thep mahanakhon,1
learning architectures,1
kurdistan,1
kurdistan region-iraq,1
learning methods,1
forecast modeling,1
layer-wise relevance propagation,1
l-asparaginase,1
labor-farmland elastic coefficient (lfec),1
knowledge based system,1
knowledge attributed petri nets (kapn),1
kathajodi basin,1
forecasts,1
forestry production,1
kernel extreme learning machine (k-elm),1
forest sustainability,1
key factors,1
key indicator,1
forest structure,1
key performance indicators,1
forest management plans,1
forest management planning,1
key sub-process,1
forest management and planning,1
forest land,1
khyber-pakhtunkhwa,1
forest ecosystem,1
knowledge,1
forest dynamics,1
forest catchment,1
formation of indicators based system to assess the level of economic security,1
initial cost,1
fuzzy relations,1
hydrocolloids,1
hydroelectric energy,1
habitat fragmentation,1
haar cascade classifiers,1
haar cascade classifier,1
hydroelectric power generation,1
hydrogen gas,1
gulf of mexico,1
hydrogen production,1
guizhou,1
hydrogen rich gas,1
guiyang,1
hydrogen-rich gas,1
guangxi,1
guangdong,1
hydrogeological parameters,1
lean production,1
hydrogeological settings,1
growth modeling,1
growth kinetics,1
habitat management,1
habitat type,1
hydrological cycle,1
hand written character recognition,1
hazardous materials,1
hazard assessment,1
hybrid structured model,1
hybrid system,1
hazard,1
hargreaves,1
hybrid systems,1
hardware,1
hydration,1
hydraulic engineering,1
hard rocks,1
hydraulic models,1
hydraulic structures,1
hard rock,1
handwritten bangla,1
hydraulics,1
hydrocarbon fuel,1
hydrocarbons,1
hydrocolloid,1
hydrologic systems,1
growth curves,1
gross domestic product,1
image reconstruction,1
image-processing software,1
immigrant,1
groundwater extraction,1
groundwater depletion,1
groundwater abstraction,1
immigrants' integration,1
implementation algorithms,1
import,1
ground-water hydrology,1
ground-based measurement,1
ground water,1
improved bp algorithms,1
ground penetrating radar systems,1
ground penetrating radar,1
improved group search optimization method,1
improving power,1
in contexts,1
in situ test,1
in-control,1
groundwater fluctuation,1
image quality,1
hydrological response,1
image process,1
growth curve approach,1
hydropower,1
growth,1
grouping model,1
group method of data handling,1
hyper-parameter optimizations,1
hyperspectral remote sensing,1
hypsometric integral,1
ica,1
ict,1
groundwater table depth,1
identification,1
identification (control systems),1
identification algorithms,1
ii-vi semiconductors,1
groundwater regulation,1
leaf,1
image display,1
image enhancement,1
hazardous waste,1
hazardous wastes,1
hybrid renewable energy system,1
hourly wlf,1
hidden layer networks,1
housing markets,1
housing policy,1
housing rental price,1
heuristic search technique,1
hpccdd algorithm,1
heuristic schemes,1
heuristic programming,1
heuristic optimization algorithms,1
hucho hucho,1
heuristic approaches,1
huiji district,1
heterogeneous wireless network,1
human being,1
human dynamics,1
heterogeneous networks,1
heritage tourism,1
heritage architectures,1
human evolution,1
hidden layers,1
hierarchical cluster analysis,1
health care organization,1
hierarchy clustering,1
ho-momorphic encryptions,1
historical weather datum,1
holistic approach,1
holistic perspectives,1
home energy management system,1
historic preservation,1
histology,1
highway traffic control,1
higher efficiency,1
high spatial resolution,1
hong kong,1
high performance computing,1
high energy densities,1
hopfield network,1
high demand,1
lateral roots,1
hotel,1
high degree of accuracy,1
high costs,1
human impact,1
heritage architecture,1
herbicide,1
human population dynamics,1
heart rates,1
heart rate,1
heart,1
lean manufacturing,1
hybrid electric vehicles,1
healthcare wastes,1
healthcare waste,1
healthcare,1
health service,1
health risks,1
health risk,1
health impact,1
health hazards,1
health degree,1
hybrid learning algorithm,1
health care reforms,1
health care policy,1
health care planning,1
hybrid modeling,1
heat affected zone,1
heat island,1
heat island effect,1
heavy metal removal,1
human population dynamics, population statistics, civilization,1
hedonic model,1
human resource management,1
hedonic analysis,1
hebei,1
heavy water,1
heavy rainfall,1
heavy metals,1
